City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,terra nova,-12.3667,-12.3667,22.1,90,99,0.96,BR,1711874818
273,haiku-pauwela,20.9219,20.9219,26.01,68,40,7.72,US,1711901912
274,aromashevo,56.8602,56.8602,0.27,99,100,4.68,RU,1711932865
275,hwawon,35.8017,35.8017,17.82,23,0,2.57,KR,1711919542
276,grantsville,40.5999,40.5999,4.82,85,100,0.0,US,1711890839
277,knysna,-34.0363,-34.0363,18.42,89,100,2.18,ZA,1711946406
278,sofo-birnin-gwari,11.0154,11.0154,25.19,53,63,2.35,NG,1711949365
279,comandante fontana,-25.3345,-25.3345,25.1,77,49,1.99,AR,1711879634
280,daulatpur,26.5015,26.5015,25.17,12,100,1.14,PK,1711934327
281,bonthe,7.5264,7.5264,26.06,89,80,2.53,SL,1711954065
282,port shepstone,-30.7414,-30.7414,21.7,86,99,9.11,ZA,1711944545
283,samarinda,-0.5,-0.5,31.05,61,100,1.38,ID,1711923116
284,minas de marcona,-15.2119,-15.2119,17.65,83,98,4.83,PE,1711883138
285,alaghsas,17.0187,17.0187,29.82,10,6,4.41,NE,1711948937
286,verkhnevilyuysk,63.4453,63.4453,-8.43,83,6,2.6,RU,1711919878
287,puerto aysen,-45.4,-45.4,5.56,98,79,1.89,CL,1711883268
288,cill airne,52.05,52.05,6.98,96,100,2.31,IE,1711951914
289,guerrero negro,27.9769,27.9769,16.55,60,1,6.11,MX,1711891609
290,novodvinsk,64.4165,64.4165,-7.34,98,97,2.04,RU,1711938796
291,petropavlovsk-kamchatsky,53.0452,53.0452,1.33,88,75,6.0,RU,1711911560
292,fort mcmurray,56.7268,56.7268,8.77,34,100,5.66,CA,1711889761
293,kirensk,57.7853,57.7853,0.54,99,100,3.13,RU,1711923338
294,naze,28.3667,28.3667,20.51,75,73,5.46,JP,1711919525
295,el calafate,-50.3408,-50.3408,6.32,78,100,3.54,AR,1711883341
296,bayanhongor,46.7167,46.7167,0.1,42,29,3.07,MN,1711925923
297,chadron,42.8294,42.8294,0.86,79,100,6.69,US,1711888486
298,edmundston,47.3737,47.3737,-1.37,73,0,3.09,CA,1711879982
299,karungdong,5.8844,5.8844,30.5,63,16,1.77,PH,1711922005
300,antalaha,-14.9003,-14.9003,24.68,92,80,2.2,MG,1711939443
301,vadso,70.0744,70.0744,-9.91,73,97,5.66,NO,1711940541
302,manismata,-2.4667,-2.4667,25.37,95,100,1.33,ID,1711924621
303,impfondo,1.6381,1.6381,23.09,97,100,2.26,CG,1711946849
304,katabu,-4.9333,-4.9333,29.19,79,95,1.33,ID,1711921913
305,holualoa,19.6228,19.6228,24.91,80,40,6.17,US,1711901857
306,port-vila,-17.7338,-17.7338,29.78,62,20,5.14,VU,1711911166
307,peachtree city,33.3968,33.3968,21.77,73,0,0.0,US,1711884393
308,torbali,38.1519,38.1519,10.57,66,1,1.33,TR,1711943711
309,kerema,-7.9631,-7.9631,29.55,74,99,3.81,PG,1711916388
310,nemuro,43.3236,43.3236,2.19,66,6,1.3,JP,1711915176
311,uturoa,-16.7333,-16.7333,28.34,79,96,9.36,PF,1711901486
312,chandler,33.3062,33.3062,13.97,84,75,4.12,US,1711890929
313,pavugada,14.1,14.1,25.31,42,6,2.25,IN,1711932390
314,ghormach,35.7306,35.7306,9.43,65,23,1.6,AF,1711935061
315,pocoes,-14.5297,-14.5297,20.6,98,24,1.68,BR,1711874786
316,limon,10.0,10.0,24.47,71,56,1.52,CR,1711884568
317,tosya,41.0155,41.0155,14.29,54,59,0.84,TR,1711942004
318,kaa-khem,51.6833,51.6833,-4.77,85,45,1.23,RU,1711926955
319,princeville,45.7668,45.7668,-0.38,82,100,1.03,CA,1711878370
320,kapa'a,22.0752,22.0752,26.18,68,20,5.14,US,1711902609
321,saint-louis,16.3333,16.3333,25.32,26,2,5.33,SN,1711954474
322,smithers,54.7804,54.7804,10.18,25,20,4.63,CA,1711893678
323,nikolayevsk-on-amure,53.1406,53.1406,-0.2,92,100,3.45,RU,1711915847
324,urangan,-25.3,-25.3,24.55,86,100,1.79,AU,1711915024
325,selfoss,63.9331,63.9331,-3.63,48,89,10.77,IS,1711953653
326,vanino,49.0869,49.0869,1.63,55,100,3.78,RU,1711916188
327,kununurra,-15.7667,-15.7667,29.99,79,100,3.6,AU,1711920629
328,richards bay,-28.783,-28.783,21.62,80,62,5.29,ZA,1711944118
329,punxsutawney,40.9437,40.9437,9.23,89,100,1.34,US,1711882798
330,fraserburgh,57.6874,57.6874,3.57,90,99,3.33,GB,1711949725
331,plymouth,41.8334,41.8334,9.34,66,0,0.0,US,1711880814
332,saipan,15.1355,15.1355,29.39,1,75,9.77,MP,1711915952
333,sitka,57.0531,57.0531,6.94,57,75,6.17,US,1711895474
334,san andres,12.5847,12.5847,28.01,69,20,3.6,CO,1711884197
335,hami,42.8,42.8,11.38,26,100,3.95,CN,1711927692
336,chibougamau,49.9168,49.9168,-6.21,68,20,1.54,CA,1711881306
337,ulsteinvik,62.3432,62.3432,6.06,95,94,0.89,NO,1711947407
338,new norfolk,-42.7826,-42.7826,21.07,49,100,1.34,AU,1711916871
339,sittwe,20.15,20.15,27.48,75,10,2.72,MM,1711928505
340,shangmei,27.7428,27.7428,21.03,93,100,1.4,CN,1711923904
341,kailua-kona,19.6406,19.6406,27.5,83,40,6.17,US,1711901868
342,fuerte olimpo,-21.0415,-21.0415,23.23,96,100,1.75,PY,1711879113
343,sevsk,52.1491,52.1491,11.44,62,100,5.72,RU,1711941362
344,road town,18.4167,18.4167,26.02,73,40,5.14,VG,1711879977
345,chinde,26.8418,26.8418,19.98,41,0,1.16,NP,1711929496
346,karratha,-20.7377,-20.7377,34.21,29,0,3.78,AU,1711923583
347,kendari,-3.945,-3.945,30.88,65,99,1.48,ID,1711921898
348,vinga,46.0167,46.0167,16.72,39,0,3.6,RO,1711944870
349,agadez,19.75,19.75,27.88,11,10,2.75,NE,1711948338
350,grand-bassam,5.2118,5.2118,28.98,82,56,3.58,CI,1711952009
